CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
41562244,RIZZOS PIZZA,MANHATTAN,1426,LEXINGTON AVENUE,10028.0,Pizza,9.0,A,2016-03-31
41563197,ROCKY'S I PIZZA & RESTAURANT,MANHATTAN,304,WEST   14 STREET,10014.0,Pizza,9.0,A,2016-05-20
41563704,FDR 99Â¢ SLICE PIZZA,MANHATTAN,150,EAST 2ND  STREET,10009.0,Pizza,5.0,A,2016-03-21
41566307,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,488,8 AVENUE,10001.0,Pizza,9.0,A,2017-02-08
41569547,DOMINO'S,BRONX,3869,WHITE PLAINS ROAD,10467.0,Pizza,2.0,A,2016-05-05
41569560,DOMINO'S,BRONX,3484,BOSTON ROAD,10469.0,Pizza,7.0,A,2016-04-20
41571471,LITTLE CAESARS,QUEENS,14605,JAMAICA AVENUE,11435.0,Pizza,21.0,B,2017-02-22
41572121,LUKE'S PIZZA,BRONX,1226,SOUTHERN BOULEVARD,10459.0,Pizza,2.0,A,2016-03-07
41574441,PRINCESS PIZZA & RESTAURANT,BROOKLYN,535,5 AVENUE,11215.0,Pizza,13.0,A,2016-04-19
41575103,PAPA JOHN'S,QUEENS,4012,GREENPOINT AVENUE,11104.0,Pizza,7.0,A,2016-12-15
41575384,LITTLE ITALY PIZZA,MANHATTAN,2047,BROADWAY,10023.0,Pizza,13.0,A,2017-02-03
41579368,DYCKMAN PALACE PIZZA,MANHATTAN,121,DYCKMAN STREET,10040.0,Pizza,9.0,A,2017-02-14
41579478,HIGH CLASS PIZZA,QUEENS,24611,JERICHO TURNPIKE,11426.0,Pizza,2.0,A,2016-03-15
41586332,OLGA'S PIZZA,MANHATTAN,3409,BROADWAY,10031.0,Pizza,12.0,A,2016-08-08
41589585,PIZZALICIOUS,BROOKLYN,1675,NOSTRAND AVENUE,11226.0,Pizza,8.0,A,2016-11-30
41589950,BARBONCINO,BROOKLYN,781,FRANKLIN AVENUE,11238.0,Pizza,9.0,A,2016-01-09
41590571,TATO'S PIZZA,BROOKLYN,8409,18 AVENUE,11214.0,Pizza,4.0,A,2017-01-03
41593372,MY PIZZA,BRONX,301,WEST TREMONT AVENUE,10453.0,Pizza,13.0,A,2016-07-18
41594882,LA NOSTRA PIZZERIA,MANHATTAN,2146,2 AVENUE,10029.0,Pizza,10.0,A,2016-04-26
41595287,LA TRATTORIA,MANHATTAN,844,2 AVENUE,10017.0,Pizza,12.0,A,2017-02-23
41595439,2 BROS PIZZA,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201.0,Pizza,9.0,A,2016-06-10
41596557,ITALIAN PIZZA,BRONX,904,MORRIS AVENUE,10451.0,Pizza,6.0,A,2016-01-19
41600260,GOURMET PIZZA,QUEENS,16210,JAMAICA AVENUE,11432.0,Pizza,12.0,A,2016-08-01
41600522,LUIGI PIZZERIA & RISTORANTE,MANHATTAN,1701,1 AVENUE,10128.0,Pizza,12.0,A,2017-03-20
41602165,JO JO PIZZA,BRONX,1545,WESTCHESTER AVENUE,10472.0,Pizza,7.0,A,2016-02-02
41604710,LITTLE CAESARS,BRONX,2537,DECATUR AVENUE,10458.0,Pizza,7.0,A,2017-04-03
41605185,MERMAID SPORTS BAR,QUEENS,3106,31 STREET,11106.0,Pizza,7.0,A,2017-03-09
41608200,MIKE'S PIZZA OF BROOKLYN,BROOKLYN,2026,BEDFORD AVENUE,11226.0,Pizza,12.0,A,2016-11-01
41611521,POSH TOMATO,BROOKLYN,1701,AVENUE M,11230.0,Pizza,27.0,B,2016-11-16
41613806,THE BEST $1.00 PIZZA,MANHATTAN,171,WEST   23 STREET,10011.0,Pizza,12.0,A,2016-07-13
41614152,SOTTO CASA,BROOKLYN,298,ATLANTIC AVENUE,11201.0,Pizza,5.0,A,2017-03-24
41615121,LITTLE CAESARS,BROOKLYN,2874,FULTON STREET,11207.0,Pizza,6.0,A,2017-02-28
41616179,DARO'S PIZZA,QUEENS,4425,KISSENA BOULEVARD,11355.0,Pizza,12.0,A,2017-01-18
41620893,LITTLE CAESARS,BRONX,496,EAST  138 STREET,10454.0,Pizza,12.0,A,2016-08-19
41623768,GINO'S PIZZA,QUEENS,1038,BEACH   20 STREET,11691.0,Pizza,12.0,A,2016-10-13
41626598,SAL'S FAMILY PIZZA,MANHATTAN,384,BROOME STREET,10013.0,Pizza,13.0,A,2016-11-16
41630365,KINGS PIZZA,BROOKLYN,916,FULTON STREET,11238.0,Pizza,13.0,A,2017-03-06
41630950,CITY LINE PIZZA & PASTA,BROOKLYN,1224,LIBERTY AVENUE,11208.0,Pizza,9.0,A,2017-01-18
41632118,JIMMYS PIZZA,BROOKLYN,561,WILSON AVENUE,11207.0,Pizza,3.0,A,2016-05-12
41632770,HALAL PIZZA & FRIED CHICKEN,BROOKLYN,1036,CONEY ISLAND AVE,11230.0,Pizza,11.0,A,2016-01-05
41633964,GLORIA PIZZA,QUEENS,10822,QUEENS BOULEVARD,11375.0,Pizza,11.0,A,2016-05-04
41634314,FAMOUS FAMIGLIA PIZZERIA,QUEENS,0,JFK INTERNATIONAL AIRPORT,11430.0,Pizza,8.0,A,2016-03-10
41636395,PRINCE ST PIZZA,MANHATTAN,27,PRINCE STREET,10012.0,Pizza,11.0,A,2016-05-02
41636558,JOE'S PIZZA,MANHATTAN,211,8 AVENUE,10011.0,Pizza,8.0,A,2016-06-09
41636692,F & F 99 CENTS PIZZA,MANHATTAN,153,AVENUE C,10009.0,Pizza,12.0,A,2016-03-23
41637665,TONY'S FAMOUS PIZZA,BROOKLYN,3145,FULTON STREET,11208.0,Pizza,12.0,A,2017-04-19
41638854,ANTONIO'S PIZZERIA,BROOKLYN,32,COURT STREET,11201.0,Pizza,9.0,A,2016-05-27
41638918,ANGELO'S PIZZERIA,MANHATTAN,117,WEST   57 STREET,10019.0,Pizza,12.0,A,2016-02-25
41639260,ARTICHOKE BASILE'S PIZZA DINING ROOM,MANHATTAN,328,EAST   14 STREET,10003.0,Pizza,10.0,A,2016-07-12
41639505,GIO'S PIZZA & RESTAURANT,BRONX,308,E 141ST ST,10454.0,Pizza,12.0,A,2016-10-24
41640977,SAL'S PIZZA,BRONX,3167,BAINBRIDGE AVENUE,10467.0,Pizza,0.0,Z,2016-10-26
41641008,PAPA JOHN'S,STATEN ISLAND,2175,HYLAN BOULEVARD,10306.0,Pizza,12.0,A,2016-10-13
41641108,LITTLE CAESARS,QUEENS,11410,SUTPHIN BLVD,11434.0,Pizza,13.0,A,2016-04-05
41641837,JOE'S PIZZERIA RESTAURANT & DELI,QUEENS,6116,FLUSHING AVENUE,11378.0,Pizza,12.0,A,2016-06-06
41641875,SUSANO'S PIZZERIA & RESTAURANT,QUEENS,679,SENECA AVENUE,11385.0,Pizza,8.0,A,2017-03-01
41642227,CROSBY PIZZA STOP,BRONX,1731,CROSBY AVENUE,10461.0,Pizza,11.0,A,2017-03-29
41642251,LITTLE CAESARS,BRONX,15,EAST  167 STREET,10452.0,Pizza,13.0,A,2016-03-05
41643622,PEPPINOS PIZZA,BRONX,4701,WHITE PLAINS ROAD,10470.0,Pizza,12.0,A,2016-09-06
41643816,ROCCO'S BRICK OVEN PIZZERIA,QUEENS,79-16,21 AVENUE,11370.0,Pizza,13.0,A,2016-06-02
41645519,NICK'S PIZZA,BRONX,1356,EAST GUN HILL ROAD,10469.0,Pizza,12.0,A,2017-03-02
41645673,69 PIZZERIA,QUEENS,4917,69TH ST,11377.0,Pizza,11.0,A,2016-07-13
41647210,SPRINGFIELD & LA BARI PIZZERIA,QUEENS,13613,FARMERS BLVD,11434.0,Pizza,10.0,A,2016-06-06
41649471,PIZZA PRINCE,BROOKLYN,86,NASSAU AVENUE,11222.0,Pizza,9.0,A,2016-12-06
41650542,LITTLE CAESARS,QUEENS,12707,MERRICK BOULEVARD,11434.0,Pizza,10.0,A,2016-03-10
41650772,SABA'S PIZZA,MANHATTAN,1376,LEXINGTON AVENUE,10128.0,Pizza,12.0,A,2016-08-15
41651087,LITTLE CAESARS,QUEENS,20501,LINDEN BLVD,11412.0,Pizza,10.0,A,2016-04-19
41651517,LIBERTY FRESH PIZZA,BROOKLYN,1097,LIBERTY AVENUE,11208.0,Pizza,9.0,A,2016-08-16
41652560,$1 PIZZA $2 BEER,MANHATTAN,95,MACDOUGAL STREET,10012.0,Pizza,5.0,A,2017-02-13
41652884,PRINCE $1 PIZZA,BROOKLYN,1276,FULTON STREET,11216.0,Pizza,19.0,B,2017-01-24
41653951,MARIA'S PIZZERIA RESTAURANT,BROOKLYN,1849,CONEY ISLAND AVENUE,11230.0,Pizza,12.0,A,2016-03-16
