CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50002422,TAGLIERE,QUEENS,000,JFK INTERNATIONAL AIRPORT,11430.0,Pizza,10.0,A,2016-04-28
50002470,PIZZETTERIA BRUNETTI,MANHATTAN,626,HUDSON STREET,10014.0,Pizza,12.0,A,2016-09-13
50002597,FRANCESCO'S PIZZERIA & TRATTORIA,BROOKLYN,529,HENRY STREET,11231.0,Pizza,7.0,A,2017-01-11
50002734,SALZA PIZZA,QUEENS,73-17,WOODSIDE AVE,11377.0,Pizza,9.0,A,2016-03-09
50002747,PIZZA EXPRESS,BROOKLYN,894,QUINCY STREET,11221.0,Pizza,12.0,A,2016-06-06
50002970,PAPA JOHN'S,BROOKLYN,8,SUTTER AVE,11212.0,Pizza,10.0,A,2016-11-17
50003299,LEO'S PIZZA,QUEENS,31-01,36TH AVE,11106.0,Pizza,8.0,A,2016-10-18
50003314,DANTE'S PIZZA,QUEENS,10503,METROPOLITAN AVE,11375.0,Pizza,7.0,A,2016-12-23
50003617,PI PIZZERIA,STATEN ISLAND,965,JEWETT AVE,10314.0,Pizza,12.0,A,2016-09-01
50003720,LITTLE ITALY PIZZA,MANHATTAN,217,E 86TH ST,10028.0,Pizza,12.0,A,2016-10-04
50003763,UNCLE JIMMY'S PIZZA,QUEENS,4110,49TH ST,11104.0,Pizza,12.0,A,2016-12-15
50004280,PIZZA HUT,QUEENS,21515,NORTHERN BLVD,11361.0,Pizza,2.0,A,2016-03-10
50004282,PIZZA HUT,BROOKLYN,8925,AVENUE D,11236.0,Pizza,7.0,A,2016-08-29
50004285,PIZZA HUT,BROOKLYN,140,EMPIRE BOULEVARD,11225.0,Pizza,7.0,A,2017-03-13
50004437,18 EAST GUNHILL PIZZA,BRONX,18,E GUN HILL RD,10467.0,Pizza,5.0,A,2017-04-18
50004569,PIZZA HUT,BROOKLYN,11114,FLATLANDS AVE,11207.0,Pizza,3.0,A,2017-01-05
50004682,I LOVE PIZZA,BRONX,3075,3RD AVE,10451.0,Pizza,7.0,Z,2017-04-18
50004725,PRINCE PIZZA,BROOKLYN,1101,AVENUE U,11223.0,Pizza,5.0,A,2016-05-11
50004837,CHUCK E. CHEESE'S,BRONX,700,EXTERIOR ST,10451.0,Pizza,15.0,B,2016-10-28
50005021,TONYS PIZZERIA,BRONX,51,E KINGSBRIDGE RD,10468.0,Pizza,11.0,A,2017-03-30
50005160,FAMOUS FAMIGLIA PIZZERIA,QUEENS,7420,ROOSEVELT AVE,11372.0,Pizza,12.0,A,2016-02-27
50005180,J & B YUMMY PIZZA,BROOKLYN,5507,5TH AVE,11220.0,Pizza,9.0,A,2016-02-22
50005469,LITTLE CAESARS,BRONX,3533,BOSTON RD,10469.0,Pizza,10.0,A,2017-01-31
50005515,TWO BOOTS,BROOKLYN,558,DRIGGS AVE,11211.0,Pizza,13.0,A,2017-03-23
50005552,MJ PIZZA,MANHATTAN,1976,1ST AVE,10029.0,Pizza,9.0,A,2016-11-03
50005603,MARIO'S PIZZERIA,QUEENS,6739,MYRTLE AVE,11385.0,Pizza,12.0,A,2016-10-27
50005675,PIZZA 23,MANHATTAN,268,W 23RD ST,10011.0,Pizza,13.0,A,2016-12-12
50005690,M & U Pizzeria,BROOKLYN,7502,18TH AVE,11214.0,Pizza,26.0,B,2016-10-04
50005801,LITTLE CAESARS,BROOKLYN,2797,86TH ST,11223.0,Pizza,2.0,A,2016-04-19
50005871,CUSTOM FUEL PIZZA,MANHATTAN,2288,FREDERICK DOUGLASS BLVD,10027.0,Pizza,12.0,A,2016-04-13
50005897,TI AMO PIZZA,STATEN ISLAND,3555,VICTORY BLVD,10314.0,Pizza,13.0,A,2016-04-14
50006046,LITTLE CAESARS,BROOKLYN,1110,PENNSYLVANIA AVE,11207.0,Pizza,4.0,A,2016-06-03
50006200,PAPA JOHN'S,BRONX,2241,WESTCHESTER AVE,10462.0,Pizza,12.0,A,2016-12-05
50006232,LITTLE CAESARS,BRONX,4711,WHITE PLAINS RD,10470.0,Pizza,5.0,A,2016-04-05
50006244,2 BROS PIZZA,MANHATTAN,319,6TH AVE,10014.0,Pizza,13.0,A,2016-08-23
50006606,LITTLE  CAESARS,QUEENS,8404,ASTORIA BOULEVARD,11370.0,Pizza,8.0,A,2016-04-18
50006691,REYS PIZZERIA & RERSTAURANT,QUEENS,9513,NORTHERN BLVD,11372.0,Pizza,24.0,Z,2017-04-05
50006794,TABLE 87,BROOKLYN,473,3RD AVE,11215.0,Pizza,5.0,A,2016-04-21
50007029,SINGAS FAMOUS PIZZA,QUEENS,4202,NORTHERN BLVD,11101.0,Pizza,9.0,A,2016-04-26
50007121,SLICE OF BROOKLYN  INC.,BROOKLYN,849,4TH AVE,11232.0,Pizza,11.0,A,2016-05-23
50007215,MARTINIELLO'S PIZZERIA,QUEENS,9506,ROOSEVELT AVE,11372.0,Pizza,12.0,A,2016-09-06
50007460,KRUST PIZZA,MANHATTAN,226,E 14TH ST,10003.0,Pizza,10.0,A,2016-09-19
50007613,PIZZA SUPERSTAR,BROOKLYN,446,DEAN ST,11217.0,Pizza,7.0,A,2016-07-25
50008221,BUONA PIZZA RESTAURANT,QUEENS,3213,BEACH CHANNEL DR,11691.0,Pizza,13.0,A,2016-10-24
50008422,LITTLE CAESARS,QUEENS,1342,BEACH CHANNEL DR,11691.0,Pizza,13.0,A,2016-02-22
50008497,PIZZA HEAVEN,BROOKLYN,3009,AVENUE N,11210.0,Pizza,11.0,A,2017-02-06
50008659,PIZZA CHEF,BROOKLYN,1512,FULTON ST,11216.0,Pizza,7.0,A,2017-03-02
50008722,LITTLE CAESARS,BRONX,2011A,WILLIAMSBRIDGE RD,10461.0,Pizza,12.0,A,2016-04-21
50008767,MR. PIZZA,STATEN ISLAND,2325,RICHMOND AVE,10314.0,Pizza,13.0,A,2016-04-27
50008935,ARCHIES,BROOKLYN,128,CENTRAL AVE,11221.0,Pizza,2.0,A,2017-03-11
50009287,CUCINA BENE PIZZERIA,MANHATTAN,1505,LEXINGTON AVE,10029.0,Pizza,8.0,A,2016-03-21
50009487,LA BELLA PIZZA,QUEENS,975,SENECA AVE,11385.0,Pizza,4.0,A,2016-09-07
50009685,ANNABEL,MANHATTAN,809,9TH AVE,10019.0,Pizza,10.0,A,2017-02-04
50009782,RIVOLI PIZZA II,MANHATTAN,131,CHRISTOPHER ST,10014.0,Pizza,9.0,A,2016-02-26
50009804,PIE PIE PIZZA,MANHATTAN,924,COLUMBUS AVE,10025.0,Pizza,10.0,A,2016-08-03
50009998,DADDY GREENS,BROOKLYN,352,MALCOLM X BLVD,11233.0,Pizza,12.0,A,2017-04-04
50010346,DOMINO'S,STATEN ISLAND,25,VICTORY BLVD,10301.0,Pizza,8.0,A,2016-05-11
50010501,99 CENT FRESH PIZZA,MANHATTAN,71,2ND AVE,10003.0,Pizza,9.0,A,2016-05-16
50010502,MELANI PIZZERIA,MANHATTAN,170,RIVINGTON ST,10002.0,Pizza,10.0,A,2016-09-13
50010573,DOMINO'S,STATEN ISLAND,1300,HYLAN BLVD,10305.0,Pizza,13.0,A,2016-10-19
50010587,DOMINO'S,STATEN ISLAND,3902,RICHMOND AVE,10312.0,Pizza,12.0,A,2017-04-12
50010599,DOMINO'S,STATEN ISLAND,1430,RICHMOND AVE,10314.0,Pizza,4.0,A,2016-09-28
50010850,RETRO PIZZA CAFE,QUEENS,4102A,BROADWAY,11103.0,Pizza,10.0,A,2017-01-13
50010863,GIOVANIS BIG PIZZA,BRONX,839A,PROSPECT AVE,10459.0,Pizza,11.0,A,2016-09-21
50010938,MEXZZARELLA PIZZA,BRONX,553,SOUNDVIEW AVE,10473.0,Pizza,23.0,B,2016-10-06
50010952,BILLY'S PIZZA PASTA,BROOKLYN,1626,BEDFORD AVE,11225.0,Pizza,12.0,A,2016-02-25
50011100,XOCHIL PIZZA,BROOKLYN,4613,5TH AVE,11220.0,Pizza,12.0,A,2017-02-22
50011252,ROCCO'S PIZZERIA,QUEENS,921,CROSS BAY BLVD,11693.0,Pizza,7.0,A,2016-10-19
50011259,CLINTON SQUARE PIZZA,MANHATTAN,201,CLINTON ST,10002.0,Pizza,13.0,A,2016-10-17
50011289,PASTAFINA PIZZA,MANHATTAN,388,3RD AVE,10016.0,Pizza,12.0,A,2016-08-08
50011519,LA VITA MIA PIZZERIA RESTAURANT,QUEENS,2801,24TH AVE,11102.0,Pizza,31.0,C,2016-09-13
50011610,BIG DADDY'S PIZZA,BROOKLYN,68,LORRAINE ST,11231.0,Pizza,10.0,A,2016-08-04
50011745,SAUCE N CHEESE 1,BROOKLYN,509,ALBANY AVE,11203.0,Pizza,2.0,A,2016-08-15
50011906,BROADWAY JOE'S PIZZA,BRONX,5985,BROADWAY,10471.0,Pizza,4.0,A,2016-10-19
50011918,BELLA DONNA PIZZZA,QUEENS,6091,54TH ST,11378.0,Pizza,8.0,A,2016-08-15
50011968,BONA PIZZA,BROOKLYN,1204A,FLATBUSH AVE,11226.0,Pizza,12.0,A,2016-05-23
50012117,ROBERTA'S PIZZA & BAKERY,BROOKLYN,261,MOORE ST,11206.0,Pizza,11.0,A,2016-09-22
50012119,JOEY PEPPERONI'S PIZZA,BRONX,114,E FORDHAM RD,10468.0,Pizza,24.0,B,2017-01-09
50012181,TWO BROTHERS PIZZA,BRONX,3039,BUHRE AVE,10461.0,Pizza,6.0,A,2016-06-01
50012217,ARMANDO'S PIZZA,BROOKLYN,1717,BROADWAY,11207.0,Pizza,12.0,A,2016-08-08
50012223,PIZZA STUDIO,BRONX,444,E FORDHAM RD,10458.0,Pizza,5.0,A,2016-05-04
50012265,PIZZA MOTO,BROOKLYN,338,HAMILTON AVE,11231.0,Pizza,12.0,A,2016-11-18
50012621,JOEY PEPPERONIS PIZZA,QUEENS,16614,JAMAICA AVE,11432.0,Pizza,5.0,A,2017-01-20
50012688,SLICE PIZZA,MANHATTAN,2224,AMSTERDAM AVE,10032.0,Pizza,7.0,A,2016-09-23
50012708,PIZZERIA DI MOLA,BROOKLYN,176,AVENUE O,11204.0,Pizza,5.0,A,2016-10-26
50012845,PIZZA CUCINA OF RIDGEWOOD,QUEENS,207,CYPRESS AVE,11385.0,Pizza,12.0,A,2016-06-13
50013000,JOEY PEPPERONI,MANHATTAN,493,2ND AVE,10016.0,Pizza,4.0,A,2017-03-31
50013002,JOEY PEPPERONI,MANHATTAN,381,BROADWAY,10013.0,Pizza,13.0,A,2016-09-12
50013172,RIVERDALE PIE GUYS,BRONX,5784,MOSHOLU AVENUE,10471.0,Pizza,12.0,A,2017-02-22
50013258,JOE'S PIZZA AND PASTA RESTAURANT,QUEENS,9508,JAMAICA AVE,11421.0,Pizza,2.0,A,2016-09-07
50013380,PIZZA,MANHATTAN,84,HESTER ST,10002.0,Pizza,9.0,A,2016-08-23
50013395,Ria Bella,BROOKLYN,1049,MANHATTAN AVE,11222.0,Pizza,12.0,A,2016-07-20
50013447,DOMINO'S,MANHATTAN,205,ALLEN ST,10002.0,Pizza,12.0,A,2017-01-09
50013454,DOMINO'S,MANHATTAN,16A,W 8TH ST,10011.0,Pizza,12.0,A,2016-09-07
50013567,ANDY'S CAFE,QUEENS,2339,ASTORIA BLVD,11102.0,Pizza,3.0,A,2016-08-22
50014173,DADDY'S PIZZA & PASTA,BROOKLYN,2625,86TH ST,11223.0,Pizza,12.0,A,2016-08-24
50014483,MARTINIELLO'S PIZZERIA,QUEENS,675,ONDERDONK AVE,11385.0,Pizza,2.0,A,2016-02-24
50014515,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,26,MURRAY STREET,10007.0,Pizza,13.0,A,2016-01-15
50014519,PAPA JOHN'S,BRONX,362,E 204TH ST,10467.0,Pizza,2.0,A,2016-03-08
50014677,B -SIDE,MANHATTAN,370,W 51ST ST,10019.0,Pizza,2.0,A,2015-12-08
50014887,MANHATTAN BRICK OVEN PIZZA & GRILL,MANHATTAN,1159,3RD AVE,10065.0,Pizza,12.0,A,2016-08-26
50014906,5 STAR CHEESE STEAK AND PIZZA,MANHATTAN,2039,1ST AVE,10029.0,Pizza,11.0,A,2017-03-23
50014941,DOMINO'S,BROOKLYN,1216,CORTELYOU RD,11218.0,Pizza,10.0,A,2016-08-04
50014986,LITTLE CAESARS,BROOKLYN,8622,4TH AVE,11209.0,Pizza,9.0,A,2016-10-11
50015202,10 DEVOE,BROOKLYN,10,DEVOE ST,11211.0,Pizza,9.0,A,2016-04-05
50015206,POPPY'S PIZZA,STATEN ISLAND,55,GUNTON PL,10309.0,Pizza,5.0,A,2016-11-10
50015444,99 CENTS FRESH SLICE PIZZA,MANHATTAN,105,STANTON ST,10002.0,Pizza,12.0,A,2017-03-07
50015516,TRUFFA WINE ROOM,BRONX,3535,RIVERDALE AVE,10463.0,Pizza,12.0,A,2016-08-16
50015967,L.A. Pizzeria,QUEENS,2501,JACKSON AVE,11101.0,Pizza,13.0,A,2016-10-19
50016026,S&S PIZZERIA,STATEN ISLAND,480,CASTLETON AVE,10301.0,Pizza,13.0,A,2016-06-28
50016118,PAPA JOHN'S,QUEENS,13338,SPRINGFIELD BLVD,11413.0,Pizza,12.0,A,2016-04-23
50016265,ADORO LEI,MANHATTAN,287,HUDSON ST,10013.0,Pizza,11.0,A,2016-12-02
50016351,ROSA'S PIZZA,MANHATTAN,2,W 14TH ST,10011.0,Pizza,23.0,B,2016-11-03
50016565,HARLEM PIZZA CO.,MANHATTAN,135,W 116TH ST,10026.0,Pizza,10.0,A,2016-04-19
50016604,PAPA JOHN'S,BRONX,161,W 231ST ST,10463.0,Pizza,11.0,A,2016-09-07
50016624,SHARKEY'S SQUARE,STATEN ISLAND,1910,HYLAN BLVD,10305.0,Pizza,2.0,A,2017-04-17
50016745,PAPA JOHN'S,QUEENS,19922,HOLLIS AVE,11412.0,Pizza,7.0,A,2017-02-08
50016793,FAT CATS PIZZA,QUEENS,3220,34TH AVE,11106.0,Pizza,7.0,A,2016-03-10
50016817,TWO BOOTS,BROOKLYN,284,5TH AVE,11215.0,Pizza,13.0,A,2017-01-07
50016840,PAPA JOHN'S,BROOKLYN,146,LAWRENCE ST,11201.0,Pizza,10.0,A,2017-02-14
50016844,ROSE PIZZA,MANHATTAN,1,PENN PLAZA,10119.0,Pizza,2.0,A,2016-08-05
50017029,RANDAZZO'S PIZZERIA,BROOKLYN,306,DITMAS AVE,11218.0,Pizza,13.0,A,2017-02-22
50017113,GRAND ST PIZZA,BROOKLYN,800,GRAND ST,11211.0,Pizza,34.0,Z,2017-01-12
50017148,NIKE'S PIZZERIA,BRONX,625,E 189TH ST,10458.0,Pizza,24.0,B,2017-01-26
50017150,MAMANI PIZZA,MANHATTAN,151,AVENUE A,10009.0,Pizza,10.0,A,2017-01-30
50017189,THE SQUARE ON ANNADALE,STATEN ISLAND,833,ANNADALE RD,10312.0,Pizza,10.0,A,2016-05-11
50017257,PICK & PAY GYRO & PIZZA,MANHATTAN,30,LEXINGTON AVE,10010.0,Pizza,24.0,B,2016-09-29
50017280,PIZZA ROLLIO,MANHATTAN,1,W 58TH ST,10019.0,Pizza,13.0,A,2016-12-21
50017596,ACAPELLA GOURMET PIZZA & RESTAURANT,BRONX,124,W 238TH ST,10463.0,Pizza,9.0,A,2016-01-22
50017675,BARISTA VERACE PIZZA & CAFE,QUEENS,9244,QUEENS BLVD,11374.0,Pizza,2.0,A,2017-03-15
50017876,Little Gio's Pizza,MANHATTAN,26,1ST AVE,10009.0,Pizza,11.0,A,2016-01-26
50017891,PAPA JOHN'S,BROOKLYN,3528,NOSTRAND AVE,11229.0,Pizza,12.0,A,2017-02-02
50018017,LA BELLEZZA,MANHATTAN,145,E 49TH ST,10017.0,Pizza,11.0,A,2016-03-10
50018111,BROOKLYN BITES,BROOKLYN,867,NOSTRAND AVE,11225.0,Pizza,8.0,A,2017-01-11
50018116,LITTLE CAESARS,BRONX,3572,WHITE PLAINS RD,10467.0,Pizza,12.0,A,2016-03-08
50018117,NEAPOLITAN EXPRESS,MANHATTAN,40,WALL ST,10005.0,Pizza,2.0,A,2016-10-14
50018237,EXPRESS FULTON FRIED CHICKEN & PIZZA,BROOKLYN,547,FULTON ST,11201.0,Pizza,12.0,A,2016-12-14
50018322,PAPA JOHN'S,QUEENS,14714,45TH AVE,11355.0,Pizza,12.0,A,2017-02-14
50018388,BAMBINO PIZZA 11,QUEENS,8001,MYRTLE AVE,11385.0,Pizza,4.0,A,2016-08-02
50018532,ARTICHOKE BASILLE'S PIZZA,QUEENS,2256,31ST ST,11105.0,Pizza,2.0,Z,2017-03-21
50018601,BELLA PIZZA & RESTAURANT,BROOKLYN,208,LIVINGSTON ST,11201.0,Pizza,8.0,A,2016-09-30
50018680,KATONAH PIZZA,BRONX,4307,KATONAH AVE,10470.0,Pizza,7.0,A,2017-01-03
50018697,LEXINGTON PIZZA PARLOR,MANHATTAN,1590,LEXINGTON AVE,10029.0,Pizza,10.0,A,2016-12-15
50018699,PAPA JOHN'S,BROOKLYN,138,4TH AVE,11217.0,Pizza,4.0,A,2016-03-28
50018738,KISS MY SLICE,MANHATTAN,274,W 40TH ST,10018.0,Pizza,4.0,A,2017-03-28
50018854,BRONX PIZZA,BRONX,3414,JEROME AVE,10467.0,Pizza,18.0,B,2016-12-05
50018950,LUIGIS PIZZERIA,BROOKLYN,326,DEKALB AVE,11205.0,Pizza,12.0,A,2016-10-11
50019036,AJ'S PIZZA,QUEENS,7137,AUSTIN ST,11375.0,Pizza,42.0,C,2017-01-23
50019052,YANKEE PIZZA RESTAURANT,MANHATTAN,181,AVENUE C,10009.0,Pizza,4.0,A,2017-02-16
50019253,JO JO PIZZA & BURGERS,BRONX,231B,E 149TH ST,10451.0,Pizza,3.0,A,2016-11-29
50032597,M & R PIZZA,BRONX,7,E 208TH ST,10467.0,Pizza,7.0,A,2016-12-05
50032623,L'INDUSRIE PIZZERIA,BROOKLYN,254,S 2ND ST,11211.0,Pizza,10.0,A,2017-01-31
50032646,ANGELO'S PIZZA,QUEENS,5764,MASPETH AVE,11378.0,Pizza,13.0,A,2016-12-29
50032725,PAPA JOHN'S,BROOKLYN,604,GRAND ST,11211.0,Pizza,12.0,A,2017-04-17
50032780,ABITINO'S PIZZA(CONCOURSE C),QUEENS,ONE,JFK INTERNATIONAL AIRPORT,11430.0,Pizza,7.0,A,2016-06-09
50032893,LA BELLA,QUEENS,4706,GREENPOINT AVE,11104.0,Pizza,12.0,A,2016-09-28
50032998,ZAAZ PIZZA,BROOKLYN,766,CLASSON AVE,11238.0,Pizza,8.0,A,2017-03-18
50033185,BELLA PIZZA,QUEENS,3101,NEWTOWN AVE,11102.0,Pizza,10.0,A,2017-01-25
50033274,BUSHWICK PIZZA PARTY,BROOKLYN,254,IRVING AVE,11237.0,Pizza,10.0,A,2017-02-22
50033304,ASTORIA PIZZA,QUEENS,3204B,30TH AVE,11102.0,Pizza,13.0,A,2016-09-28
50033400,PALACE ON FULTON,BROOKLYN,1882,FULTON ST,11233.0,Pizza,7.0,A,2016-06-24
50033472,MY PIZZA,BRONX,1723,UNIVERSITY AVE,10453.0,Pizza,12.0,A,2017-01-26
50033478,FRESCOS PIZZERIA,MANHATTAN,804,W 187TH ST,10033.0,Pizza,9.0,A,2016-09-08
50033727,PAPA JOHN'S,BROOKLYN,1009,BROADWAY,11221.0,Pizza,10.0,A,2016-11-10
50033742,WHOLESOME GARDEN PIZZA,MANHATTAN,3529,BROADWAY,10031.0,Pizza,13.0,A,2017-04-10
50033757,PAPA JOHN'S,BROOKLYN,189,AVENUE U,11223.0,Pizza,4.0,A,2017-03-13
50033848,CHAMPION PIZZA LUDLOW,MANHATTAN,101,LUDLOW ST,10002.0,Pizza,10.0,A,2016-10-04
50033921,SORRENTOS PIZZA,BRONX,3891,SEDGWICK AVE,10463.0,Pizza,7.0,A,2016-04-18
50033956,DJ PIZZA,MANHATTAN,120,E 34TH ST,10016.0,Pizza,7.0,A,2016-09-30
50033970,DOMINO'S,QUEENS,9614,METROPOLITAN AVE,11375.0,Pizza,12.0,A,2017-03-13
50033988,2 HARLEM BROS PIZZA,MANHATTAN,346,W 145TH ST,10039.0,Pizza,25.0,B,2016-11-21
50034105,ALFIE'S PIZZA AND PASTA,QUEENS,8608,117TH ST,11418.0,Pizza,7.0,A,2017-02-23
50034110,PAPA JOHN'S,QUEENS,3548,31ST ST,11106.0,Pizza,5.0,A,2016-10-18
50034113,NOEL PIZZA,MANHATTAN,553,W 207TH ST,10034.0,Pizza,9.0,A,2016-12-28
50034133,BAMBINO PIZZA,QUEENS,5656,MYRTLE AVE,11385.0,Pizza,12.0,A,2016-02-23
50034380,KRAVE IT,QUEENS,4015,BELL BLVD,11361.0,Pizza,11.0,A,2016-11-16
50034556,DECORA PIZZA,BROOKLYN,8125,5TH AVE,11209.0,Pizza,12.0,A,2016-08-31
50034651,PIZZA STUDIO,BROOKLYN,528,GATEWAY DR,11239.0,Pizza,13.0,A,2016-08-02
50034883,VINCENT AND ANDREA PIZZERIA,QUEENS,11317,JAMAICA AVE,11418.0,Pizza,5.0,A,2016-09-27
50035061,Broadway Pizza,MANHATTAN,1157,BROADWAY,10001.0,Pizza,11.0,A,2016-05-16
50035343,PAPA JOHN'S,QUEENS,9411,ROCKAWAY BLVD,11417.0,Pizza,4.0,A,2016-11-23
50035376,PAPA JOHN'S,MANHATTAN,210,1ST AVE,10009.0,Pizza,19.0,B,2016-07-28
50035385,PAPA JOHN'S,MANHATTAN,343,GRAND ST,10002.0,Pizza,13.0,A,2016-05-24
50035419,NORBERT III PIZZA,BROOKLYN,791,FLUSHING AVE,11206.0,Pizza,12.0,A,2016-03-09
50035660,ROCCOS,MANHATTAN,162,7TH AVE,10011.0,Pizza,13.0,A,2017-03-29
50035899,NEAPOLITAN EXPRESS,MANHATTAN,232,E 111TH ST,10029.0,Pizza,4.0,A,2016-10-05
50036082,LITTLE CAESARS,QUEENS,9422,LIBERTY AVE,11417.0,Pizza,13.0,A,2016-08-12
50036444,ARTURO'S PIZZA,MANHATTAN,1610,YORK AVE,10028.0,Pizza,5.0,A,2016-11-28
50036867,SAPORE DI CASA,QUEENS,22330,UNION TPKE,11364.0,Pizza,12.0,A,2016-10-11
50036974,BIG AL'S PIZZA,STATEN ISLAND,4069,HYLAN BLVD,10308.0,Pizza,7.0,A,2017-03-16
50037026,PAPA JOHN'S,BROOKLYN,1654,86TH ST,11214.0,Pizza,11.0,A,2016-12-15
50037152,PAPA JOHN'S,MANHATTAN,703,LENOX AVE,10039.0,Pizza,10.0,A,2016-08-19
50037168,MISTER PIZZA,BRONX,155,E 149TH ST,10451.0,Pizza,10.0,A,2017-01-27
50037394,KRAZY CHICKEN & PIZZA,BROOKLYN,299,MALCOLM X BLVD,11233.0,Pizza,12.0,A,2016-09-13
50037412,ROBERTA'S PIZZA,MANHATTAN,230,PARK AVE,10169.0,Pizza,10.0,A,2016-06-02
50037424,MAX'S PIZZERIA,QUEENS,NKA,JFK TRAVEL PLAZA,11430.0,Pizza,13.0,A,2017-01-20
50037525,BRADO THIN CRUST PIZZA,BROOKLYN,155,ATLANTIC AVE,11201.0,Pizza,8.0,A,2016-12-21
50037645,JOE'S PIZZA,BROOKLYN,216,BEDFORD AVE,11249.0,Pizza,9.0,A,2017-02-03
50037937,AEGEA WEST,QUEENS,24205,NORTHERN BLVD,11362.0,Pizza,9.0,A,2016-09-21
50038022,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,4020,BROADWAY,10032.0,Pizza,5.0,A,2016-10-04
50038040,PZA,QUEENS,NKA,JFK INTL ARPT,11422.0,Pizza,4.0,A,2017-04-19
50038127,PIZZA SPOT,QUEENS,8638,96TH ST,11421.0,Pizza,12.0,A,2016-12-28
50038737,LISSETT OMAR,BRONX,392,E 149TH ST,10455.0,Pizza,9.0,A,2016-03-17
50038904,LOUIS PIZZERIA,BRONX,1840,NEREID AVE,10466.0,Pizza,9.0,A,2016-08-08
50038967,PAPA JOHN'S,MANHATTAN,2119,1ST AVE,10029.0,Pizza,5.0,A,2017-02-14
50039079,FARINELLA,MANHATTAN,267,AMSTERDAM AVE,10023.0,Pizza,12.0,A,2016-08-09
50039491,2 BRO'S PIZZA,MANHATTAN,601,6TH AVE,10011.0,Pizza,4.0,A,2016-12-12
50039946,NEW PEPERONI'S PIZZA,BRONX,1308,LAFAYETTE AVE,10474.0,Pizza,2.0,A,2016-06-09
50040054,MOLO,STATEN ISLAND,987,BAY ST,10305.0,Pizza,12.0,A,2016-09-01
50040490,SLICE,QUEENS,4811,VERNON BLVD,11101.0,Pizza,11.0,A,2017-02-15
50040571,PIZZA WORLD,BRONX,509,E 163RD ST,10451.0,Pizza,13.0,A,2016-06-09
50040586,LUNETTA PIZZA,MANHATTAN,245,3RD AVE,10010.0,Pizza,7.0,A,2016-11-18
50040670,TUTI'S PIZZERIA RESTAURANT,BRONX,34,W 183RD ST,10453.0,Pizza,12.0,A,2016-08-11
50041043,BRAVO PIZZA,MANHATTAN,257,PARK AVE S,10010.0,Pizza,10.0,A,2017-01-13
50041154,FAHR FRESH AND HOT PIZZA,MANHATTAN,117,ORCHARD ST,10002.0,Pizza,10.0,A,2016-12-13
50041215,LITTLE CAESARS,MANHATTAN,1332,SAINT NICHOLAS AVE,10033.0,Pizza,10.0,A,2016-10-06
50041218,LITTLE CAESARS,MANHATTAN,3830,BROADWAY,10032.0,Pizza,7.0,A,2016-12-13
50041320,A & L PIZZA RESTAURANT,BROOKLYN,6024,18TH AVE,11204.0,Pizza,23.0,B,2016-11-15
50041522,MOLTO BUONA PIZZA,BRONX,157,E 170TH ST,10452.0,Pizza,2.0,A,2016-11-10
50041565,Sicilia Pizzeria,QUEENS,3125,THOMSON AVE,11101.0,Pizza,27.0,B,2017-01-26
50041602,MARIO'S PIZZA & RESTAURANT,QUEENS,7709,37TH AVE,11372.0,Pizza,10.0,A,2016-06-08
50042058,I PIZZA 49,MANHATTAN,707,9TH AVE,10019.0,Pizza,12.0,A,2016-09-06
50042061,I PIZZA NY,MANHATTAN,642,9TH AVE,10036.0,Pizza,10.0,A,2016-07-21
50042180,MARIO'S PIZZA 2,BRONX,1011,WESTCHESTER AVE,10459.0,Pizza,18.0,B,2016-10-07
50042702,THE CORNER PIZZA SHOP,BRONX,3399,JEROME AVE,10467.0,Pizza,3.0,A,2016-12-27
50042768,PAPA JOHN'S,QUEENS,10303,101ST AVE,11416.0,Pizza,11.0,A,2017-02-13
50042876,BOSTON PIZZA,QUEENS,3705,BROADWAY,11103.0,Pizza,10.0,A,2016-11-16
50042971,L.J. PIZZA,BRONX,977,E 233RD ST,10466.0,Pizza,11.0,A,2016-04-06
50043145,PIEZANO PIZZA,MANHATTAN,94,NAGLE AVE,10040.0,Pizza,7.0,A,2016-06-02
50043179,SABA'S PIZZA,MANHATTAN,403,AMSTERDAM AVE,10024.0,Pizza,10.0,A,2016-11-28
50043193,NOCCIOLA PIZZERIA,MANHATTAN,123,E 110TH ST,10029.0,Pizza,13.0,A,2017-03-23
50043263,PARKSIDE,BROOKLYN,705,FLATBUSH AVE,11225.0,Pizza,5.0,A,2016-04-14
50043387,LINDA PIZZA,BRONX,3240,3RD AVE,10451.0,Pizza,17.0,B,2016-08-08
50043393,TONY'S PIZZERIA,BROOKLYN,175,NASSAU AVE,11222.0,Pizza,8.0,A,2017-02-14
50043497,BKLYN PIZZA CO.,BROOKLYN,36,RALPH AVE,11221.0,Pizza,6.0,A,2016-10-11
50043500,APNAR SWEETS AND BAKERY,QUEENS,16719,HILLSIDE AVE,11432.0,Pizza,16.0,B,2017-02-11
50043534,DELAFIELD PIZZA,STATEN ISLAND,731,DELAFIELD AVE,10310.0,Pizza,12.0,A,2016-03-15
